run,available
202005060000,202005060348
202005060600,202005060948
202005061200,202005061547
202005070000,202005070345
202005070600,202005070945
202005071200,202005071545
202005071800,202005072144
202005080000,202005080338
202005080600,202005080938
202005081200,202005081545
202005081800,202005082138
202005090000,202005090345
202005090600,202005090945
202005091200,202005091545
202005091800,202005092145
202005100000,202005100345
202005100600,202005100945
202005101200,202005101545
202005101800,202005102145
202005110000,202005110345
202005110600,202005110945
202005111200,202005111545
202005111800,202005112144
202005120000,202005120344
202005120600,202005120945
202005121200,202005121544
202005121800,202005122144
202405301200,202405301716
202405301800,202405302146
202405310000,202405310349
202405310600,202405310949
202405311200,202405311548
202405311800,202405312150
202406010000,202406010347
202406010600,202406010948
202406011200,202406011550
202406011800,202406020309
202406020000,202406020349
202406020600,202406020951
202406021200,202406021551
202406021800,202406022149
202406030000,202406030347
202406030600,202406030948
202406031200,202406031548
202406031800,202406032147
202406040000,202406040346
202406040600,202406040950
202406041200,202406041549
202406041800,202406042150
202406050000,202406050349
202406050600,202406050946
202406051200,202406051548
202406051800,202406052146
202406060000,202406060909
202406060600,202406061507
202406061200,202406062106
202406061800,202406062147
202406070000,202406070347
202406070600,202406070948
202406071200,202406071549
202406071800,202406072146
202406080000,202406080349
202406080600,202406080948
202406081200,202406081547
202406081800,202406082148
202406090000,202406090350
202406090600,202406090948
202406091200,202406091546
202406091800,202406092149
202406100000,202406100346
202406100600,202406100951
202406101200,202406101550
202406101800,202406102151
202406110000,202406110351
202406110600,202406110950
202406111200,202406111549
202406111800,202406112150
202406120000,202406120347
202406120600,202406120948
202406121200,202406121548
202406121800,202406130309
202406130000,202406130351
202406130600,202406130949
202406131200,202406131549
202406131800,202406132151
202406140000,202406140352
202406140600,202406140947
202406141200,202406141549
202406141800,202406142151
202406150000,202406150348
202406150600,202406150950
202406151200,202406151546
202406151800,202406152149
202406160000,202406160350
202406160600,202406160949
202406161200,202406161547
202406161800,202406162146
202406170000,202406170348
202406170600,202406170949
202406171200,202406171550
202406171800,202406172147
202406180000,202406180348
